,precision,recall,f1-score,support
sd,0.7063351095322676,0.90584662110858,0.7937458416500333,1317
b,0.7630180658873539,0.9397905759162304,0.8422287390029327,764
sv,0.7377690802348337,0.5250696378830083,0.613506916192026,718
%,0.8128654970760234,0.7965616045845272,0.804630969609262,349
aa,0.7295081967213115,0.42995169082125606,0.5410334346504561,207
ba,0.7294117647058823,0.8157894736842105,0.7701863354037266,76
qy,0.7444444444444445,0.7976190476190477,0.7701149425287357,84
ny,0.0,0.0,0.0,73
fc,0.8333333333333334,0.5555555555555556,0.6666666666666667,81
qw,0.7017543859649122,0.7272727272727273,0.7142857142857142,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.41379310344827586,0.42857142857142855,0.42105263157894735,28
h,0.8181818181818182,0.391304347826087,0.5294117647058824,23
qy^d,0.5,0.25,0.3333333333333333,36
bh,0.7142857142857143,0.47619047619047616,0.5714285714285714,21
^q,0.5,0.058823529411764705,0.10526315789473684,17
bf,0.0,0.0,0.0,23
"fo_o_fw_""_by_bc",1.0,0.06666666666666667,0.125,15
na,0.0,0.0,0.0,10
ad,0.8571428571428571,0.2222222222222222,0.35294117647058826,27
^2,0.0,0.0,0.0,19
b^m,0.2,0.09523809523809523,0.12903225806451613,21
qo,0.7058823529411765,0.75,0.7272727272727272,16
qh,0.5,0.25,0.3333333333333333,12
^h,0.5,0.14285714285714285,0.22222222222222224,7
ar,0.0,0.0,0.0,3
ng,0.5,0.16666666666666666,0.25,6
br,0.7142857142857143,0.5555555555555556,0.6250000000000001,9
no,0.0,0.0,0.0,6
fp,1.0,0.2,0.33333333333333337,5
qrr,0.0,0.0,0.0,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7282981853849927,0.7282981853849927,0.7282981853849927,4078
macro avg,0.4413493252072789,0.32173212988849353,0.34021429238361744,4078
weighted avg,0.703025151638305,0.7282981853849927,0.6985099107058036,4078
