'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
bert_base_1,bert_base,10000,128,TRUE,768,bert,bert,0.44928962,0.846295774,0.884882987,0.772004902,0.733069718,0.7621966,0.762196617,0.762196617,0.762196617,0.488486727,0.414898309,0.488486727,0.735276091,0.762196617,0.735927405
bert_base_2,bert_base,10000,128,TRUE,768,bert,bert,0.418254703,0.857568264,0.969922543,0.770476818,0.750256717,0.761951447,0.761951459,0.761951459,0.761951459,0.483567886,0.432963604,0.483567886,0.735424782,0.761951459,0.737179083
bert_base_3,bert_base,10000,128,TRUE,768,bert,bert,0.453113914,0.845640957,0.958140969,0.7652812,0.736669779,0.764648199,0.764648198,0.764648198,0.764648198,0.498570324,0.411090478,0.498570324,0.738261334,0.764648198,0.738223263
bert_base_4,bert_base,10000,128,TRUE,768,bert,bert,0.455548108,0.845277131,0.906988859,0.775978029,0.734170198,0.760970831,0.760970826,0.760970826,0.760970826,0.4965652,0.438365657,0.4965652,0.730450025,0.760970826,0.736647013
bert_base_5,bert_base,10000,128,TRUE,768,bert,bert,0.491359681,0.833282232,0.836427033,0.776589274,0.761514902,0.759499848,0.759499877,0.759499877,0.759499877,0.475847158,0.424849819,0.475847158,0.732686477,0.759499877,0.737065634
bert_base_6,bert_base,10000,128,TRUE,768,bert,bert,0.453166544,0.846576452,0.938661397,0.764058709,0.748349249,0.761706293,0.761706301,0.761706301,0.761706301,0.468463708,0.425314811,0.468463708,0.731847575,0.761706301,0.735628632
bert_base_7,bert_base,10000,128,TRUE,768,bert,bert,0.447548956,0.848400593,0.912684023,0.773227394,0.746995986,0.759745002,0.759745036,0.759745036,0.759745036,0.485296185,0.439953498,0.485296185,0.731537852,0.759745036,0.733553343
bert_base_8,bert_base,10000,128,TRUE,768,bert,bert,0.451547563,0.846851885,0.862713337,0.773533046,0.756653309,0.754351556,0.754351557,0.754351557,0.754351557,0.483589177,0.414774617,0.483589177,0.726132711,0.754351557,0.726678281
bert_base_9,bert_base,10000,128,TRUE,768,bert,bert,0.448832154,0.847698987,0.902721167,0.777811766,0.739402473,0.762932062,0.762932091,0.762932091,0.762932091,0.489760828,0.413747173,0.489760828,0.73456369,0.762932091,0.738656501
bert_base_10,bert_base,10000,128,TRUE,768,bert,bert,0.451481223,0.84620744,0.866180003,0.77933991,0.756306887,0.755577326,0.755577347,0.755577347,0.755577347,0.452197628,0.416858923,0.452197628,0.725903749,0.755577347,0.731567391
