,precision,recall,f1-score,support
sd,0.7418927862342819,0.8511769172361427,0.7927864214992927,1317
b,0.7148399612027158,0.9646596858638743,0.8211699164345404,764
sv,0.672782874617737,0.6128133704735376,0.641399416909621,718
%,0.7810650887573964,0.7564469914040115,0.7685589519650655,349
aa,0.8020833333333334,0.3719806763285024,0.5082508250825083,207
ba,0.7261904761904762,0.8026315789473685,0.7625,76
qy,0.7294117647058823,0.7380952380952381,0.7337278106508874,84
ny,0.0,0.0,0.0,73
fc,0.8085106382978723,0.4691358024691358,0.59375,81
qw,0.7058823529411765,0.6545454545454545,0.679245283018868,55
nn,0.5306122448979592,1.0,0.6933333333333334,26
bk,0.5555555555555556,0.17857142857142858,0.2702702702702703,28
h,0.8333333333333334,0.6521739130434783,0.7317073170731708,23
qy^d,0.4,0.1111111111111111,0.1739130434782609,36
bh,0.5263157894736842,0.47619047619047616,0.5,21
^q,0.3333333333333333,0.058823529411764705,0.1,17
bf,1.0,0.043478260869565216,0.08333333333333333,23
"fo_o_fw_""_by_bc",1.0,0.13333333333333333,0.23529411764705882,15
na,0.0,0.0,0.0,10
ad,0.6,0.2222222222222222,0.32432432432432434,27
^2,0.08333333333333333,0.05263157894736842,0.06451612903225808,19
b^m,0.4,0.09523809523809523,0.15384615384615385,21
qo,0.6666666666666666,0.75,0.7058823529411765,16
qh,0.375,0.25,0.3,12
^h,1.0,0.14285714285714285,0.25,7
ar,0.0,0.0,0.0,3
ng,0.4,0.3333333333333333,0.3636363636363636,6
br,0.6666666666666666,0.2222222222222222,0.3333333333333333,9
no,0.0,0.0,0.0,6
fp,1.0,0.6,0.7499999999999999,5
qrr,0.5,0.5,0.5,2
arp_nd,0.0,0.0,0.0,3
oo_co_cc,0.0,0.0,0.0,0
aap_am,0.0,0.0,0.0,7
t1,0.0,0.0,0.0,1
bd,0.0,0.0,0.0,1
qw^d,0.0,0.0,0.0,1
fa,1.0,1.0,1.0,2
ft,0.0,0.0,0.0,7
micro avg,0.7197155468366846,0.7197155468366846,0.7197155468366847,4078
macro avg,0.47573015896260007,0.33445313750550787,0.35473791532845694,4078
weighted avg,0.698394554721956,0.7197155468366846,0.6911692999244207,4078
