'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
bi_lstm_final_1,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.75343597,0.7275265,1.6284515,0.5802453,1.1358309,0.5998563,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5781952929460308,0.5374622736583781,0.5781952929460308,0.5974363258690155,0.6006517016654598,0.5817635171272102
bi_lstm_final_2,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7570709,0.72419345,1.6339574,0.58084244,1.137605,0.6012931,0.6020999275887038,0.6020999275887038,0.6020999275887038,0.6087661645133798,0.5422564920733167,0.6087661645133798,0.6157935772366154,0.6020999275887038,0.5896377461388342
bi_lstm_final_3,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7579438,0.725663,1.6356213,0.57968307,1.1484219,0.5948276,0.5955829109341058,0.5955829109341058,0.5955829109341058,0.5787355243549422,0.5407300239994336,0.5787355243549422,0.5956376679210716,0.5955829109341058,0.5801626589822894
bi_lstm_final_4,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.75490224,0.7250597,1.6313154,0.57869893,1.1445926,0.6009339,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.5840495902096449,0.5393406920732008,0.5840495902096449,0.6034123322139622,0.6017378711078928,0.5836181420256196
bi_lstm_final_5,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7560164,0.7254568,1.66027,0.57717854,1.1207958,0.60064656,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.6132492130771686,0.5393147731143662,0.6132492130771686,0.6194846504184653,0.6006517016654598,0.5876889614826561
bi_lstm_final_6,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.75435567,0.72697645,1.6544083,0.57623947,1.1565636,0.5867816,0.5890658942795076,0.5890658942795076,0.5890658942795076,0.5998653747025384,0.5370025362918066,0.5998653747025384,0.6180795903064064,0.5890658942795076,0.5779152007928189
bi_lstm_final_7,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7510323,0.72789246,1.6559544,0.57898146,1.1583467,0.59626436,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.6000968958413403,0.5468483567060501,0.6000968958413403,0.6142642284274189,0.5970311368573498,0.585594951305572
bi_lstm_final_8,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.75481355,0.72569436,1.6367381,0.58170664,1.156067,0.6041667,0.6049963794351919,0.6049963794351919,0.6049963794351919,0.6058796917296425,0.5501065010168275,0.6058796917296425,0.6178915039559311,0.6049963794351919,0.5870553482394396
bi_lstm_final_9,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7640681,0.72338426,1.6159078,0.5806028,1.111107,0.6020115,0.6028240405503259,0.6028240405503259,0.6028240405503259,0.5984550228228332,0.5408252536274581,0.5984550228228332,0.6166823321847225,0.6028240405503259,0.5878252176928968
bi_lstm_final_10,bi_lstm,800,10,True,300,glove,glove.840B.300d,0.7533281,0.7267273,1.6551782,0.58019686,1.1656865,0.5866379,0.5865314989138306,0.5865314989138306,0.5865314989138306,0.5675369637735401,0.5400326633302951,0.5675369637735401,0.5897545596834652,0.5865314989138306,0.5735652398823131
deep_lstm_2lyr_final_1,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8481301,0.6953978,1.4502109,0.58356375,1.1442031,0.585704,0.5879797248370746,0.5879797248370746,0.5879797248370746,0.5955109786056889,0.5308512349741746,0.5955109786056889,0.6101901484382471,0.5879797248370746,0.566899996185469
deep_lstm_2lyr_final_2,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8442374,0.69616526,1.4499854,0.58162427,1.162844,0.59734195,0.5981173062997828,0.5981173062997828,0.5981173062997828,0.5742109448838668,0.5369792516502406,0.5742109448838668,0.5975653839648035,0.5981173062997828,0.5806324803036168
deep_lstm_2lyr_final_3,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8470882,0.69451267,1.4731824,0.58304924,1.1583982,0.6099856,0.6100651701665459,0.6100651701665459,0.6100651701665459,0.6183894553558201,0.5465503916549568,0.6183894553558201,0.6261353791921687,0.6100651701665459,0.5956935172368867
deep_lstm_2lyr_final_4,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8448961,0.69657236,1.4549448,0.5820471,1.164462,0.5992097,0.5992034757422158,0.5992034757422158,0.5992034757422158,0.5741075840707005,0.5428595398557542,0.5741075840707005,0.5949840258525718,0.5992034757422158,0.5796774462573892
deep_lstm_2lyr_final_5,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.84883714,0.6949978,1.431515,0.5851237,1.123582,0.60380745,0.6046343229543809,0.6046343229543809,0.6046343229543809,0.599607028391231,0.5495276908159346,0.599607028391231,0.6159887579775132,0.6046343229543809,0.5871284770814131
deep_lstm_2lyr_final_6,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.84181416,0.6969062,1.4418464,0.58381367,1.1760432,0.6034483,0.6042722664735699,0.6042722664735699,0.6042722664735699,0.6041283598663375,0.5499607319913297,0.6041283598663375,0.6148586920152737,0.6042722664735699,0.5895820650185857
deep_lstm_2lyr_final_7,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8506369,0.69478524,1.4606136,0.58275384,1.1261944,0.59274423,0.5926864590876176,0.5926864590876176,0.5926864590876176,0.5768124351357434,0.5687156985424109,0.5768124351357434,0.5924410398640947,0.5926864590876176,0.5784473373632305
deep_lstm_2lyr_final_8,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8521874,0.69380283,1.4305886,0.5864825,1.1576487,0.6012931,0.6020999275887038,0.6020999275887038,0.6020999275887038,0.6047296792407355,0.5427932991250017,0.6047296792407355,0.6130708563940623,0.6020999275887038,0.5884892130303023
deep_lstm_2lyr_final_9,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8411416,0.69693416,1.4604264,0.5828329,1.1558262,0.59662354,0.5973931933381608,0.5973931933381608,0.5973931933381608,0.5906804055592649,0.5383034574472614,0.5906804055592649,0.6028231314104168,0.5973931933381608,0.5826493230354626
deep_lstm_2lyr_final_10,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.84855473,0.6935478,1.434763,0.5807371,1.143425,0.60380745,0.6046343229543809,0.6046343229543809,0.6046343229543809,0.6013241573655957,0.5457090845171894,0.6013241573655957,0.6142502547384977,0.6046343229543809,0.5881208925082811
deep_lstm_3lyr_final_1,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8875153,0.68331885,1.4151777,0.5834477,1.1565082,0.6030891,0.6039102099927589,0.6039102099927589,0.6039102099927589,0.5935292462048076,0.541085495159215,0.5935292462048076,0.606551990348325,0.6039102099927589,0.5849168222404965
deep_lstm_3lyr_final_2,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8853856,0.6833596,1.4402603,0.57943577,1.1621716,0.6053161,0.6053584359160029,0.6053584359160029,0.6053584359160029,0.5998331236502611,0.5424352060850514,0.5998331236502611,0.6222739276219639,0.6053584359160029,0.5890151549738544
deep_lstm_3lyr_final_3,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.88797295,0.6818977,1.4190872,0.58176136,1.1423663,0.6023707,0.6031860970311369,0.6031860970311369,0.6031860970311369,0.5897429067702652,0.5491795965870528,0.5897429067702652,0.60739067439329,0.6031860970311369,0.5896017270955345
deep_lstm_3lyr_final_4,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8888012,0.6827983,1.411753,0.58380914,1.1525259,0.60775864,0.6086169442433019,0.6086169442433019,0.6086169442433019,0.6071618345441211,0.5501982208303937,0.6071618345441211,0.6172294048052658,0.6086169442433019,0.5903260972628103
deep_lstm_3lyr_final_5,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8873051,0.68212306,1.4257401,0.5802812,1.156037,0.60064656,0.6006517016654598,0.6006517016654598,0.6006517016654598,0.5992634463842204,0.5612305839010546,0.5992634463842204,0.6117406266296541,0.6006517016654598,0.587901129581128
deep_lstm_3lyr_final_6,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.88210624,0.6845677,1.4498705,0.5762579,1.1514376,0.59231323,0.5930485155684286,0.5930485155684286,0.5930485155684286,0.5761924089262029,0.5424892420450911,0.5761924089262029,0.5982358726482004,0.5930485155684286,0.5840319766308806
deep_lstm_3lyr_final_7,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8859945,0.68380195,1.4234523,0.58213425,1.1420498,0.6009339,0.6017378711078928,0.6017378711078928,0.6017378711078928,0.6085198487020067,0.546374261698193,0.6085198487020067,0.61924624264291,0.6017378711078928,0.588646624217561
deep_lstm_3lyr_final_8,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8889176,0.68197554,1.4144766,0.57994574,1.1176345,0.60718393,0.6064446053584359,0.6064446053584359,0.6064446053584359,0.5996939758579136,0.5623084242540307,0.5996939758579136,0.6155663370346894,0.6064446053584359,0.5910824215674162
deep_lstm_3lyr_final_9,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8958394,0.68031794,1.4280041,0.58338964,1.186111,0.5853448,0.5876176683562636,0.5876176683562636,0.5876176683562636,0.5856901461873563,0.5260623691906232,0.5856901461873563,0.602529762837522,0.5876176683562636,0.5716162971439882
deep_lstm_3lyr_final_10,deep_lstm,800,10,True,300,glove,glove.840B.300d,0.8941538,0.6815581,1.4124191,0.5793126,1.1530701,0.59662354,0.5973931933381608,0.5973931933381608,0.5973931933381608,0.5831813497768775,0.5342613379028024,0.5831813497768775,0.6022826972674793,0.5973931933381608,0.5820974192316917
lstm_crf_final_1,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4930851,0.6500012,-3.176843,0.5619744,-7.250755,0.5641378,0.48008689355539463,0.48008689355539463,0.48008689355539463,0.4556446084723978,0.40766388046168744,0.4556446084723978,0.47227665253019624,0.48008689355539463,0.449612659242834
lstm_crf_final_2,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4193068,0.6592696,-3.1295288,0.57121867,-7.1972027,0.56517965,0.4869659666908038,0.4869659666908038,0.4869659666908038,0.4799669119121648,0.419473311844558,0.4799669119121648,0.489810851945312,0.4869659666908038,0.4633465242978367
lstm_crf_final_3,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4382436,0.651684,-3.1452322,0.5651997,-7.2809668,0.55270827,0.4713975380159305,0.4713975380159305,0.4713975380159305,0.44141362623242303,0.405623785869365,0.44141362623242303,0.45565396275387304,0.4713975380159305,0.4473310945817502
lstm_crf_final_4,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.432512,0.65743357,-3.156324,0.56826067,-7.291884,0.56098413,0.47465604634322955,0.47465604634322955,0.47465604634322955,0.4434829084065277,0.4058908143611056,0.4434829084065277,0.45793896270785395,0.47465604634322955,0.44212729176397864
lstm_crf_final_5,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4143972,0.6579014,-3.1182861,0.5672231,-7.218038,0.5500287,0.46234612599565533,0.46234612599565533,0.46234612599565533,0.426466924411321,0.40145255430869636,0.426466924411321,0.4407887713156778,0.46234612599565533,0.4310597535417956
lstm_crf_final_6,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4494708,0.6529289,-3.1416838,0.5650088,-7.2436404,0.5408118,0.44641564083997104,0.44641564083997104,0.44641564083997104,0.4285070606476204,0.4025214278510514,0.4285070606476204,0.4386823116202157,0.44641564083997104,0.4261161228739187
lstm_crf_final_7,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.445434,0.6585577,-3.1502275,0.5697586,-7.221378,0.5606968,0.4685010861694424,0.4685010861694424,0.4685010861694424,0.4474639009144983,0.3952289356245359,0.4474639009144983,0.4533270486524935,0.4685010861694424,0.4337523991202263
lstm_crf_final_8,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.4622023,0.6502531,-3.1734006,0.5606371,-7.2658377,0.5617672,0.47574221578566256,0.47574221578566256,0.4757422157856625,0.44006238339869935,0.39963965484811664,0.44006238339869935,0.44002964434834074,0.47574221578566256,0.4337972869135701
lstm_crf_final_9,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.412212,0.6558045,-3.1374383,0.56447655,-7.2812243,0.561839,0.4681390296886314,0.4681390296886314,0.4681390296886314,0.43822852519515054,0.42629385961565736,0.43822852519515054,0.44098049355032737,0.4681390296886314,0.44662048464875326
lstm_crf_final_10,lstm_crf,800,10,True,300,glove,glove.840B.300d,-3.3221974,0.65872365,-3.041662,0.56963474,-7.1434145,0.558908,0.4721216509775525,0.4721216509775525,0.4721216509775525,0.4358579373646963,0.4007469254395797,0.4358579373646963,0.4410833147223141,0.4721216509775525,0.43833952095536455
lstm_attn_final_1,lstm_attn,800,10,True,300,glove,glove.840B.300d,0.78752404,0.71527076,1.5831918,0.5790754,1.1450775,0.6003592,0.5995655322230268,0.5995655322230268,0.5995655322230268,0.5955239801154985,0.5543209872297793,0.5955239801154985,0.6096493034133431,0.5995655322230268,0.5875737736345157
lstm_attn_final_2,lstm_attn,800,10,True,300,glove,glove.840B.300d,0.78523153,0.71562827,1.5693479,0.58011293,1.137711,0.594181,0.5941346850108616,0.5941346850108616,0.5941346850108616,0.5932180728019028,0.5506894034885935,0.5932180728019028,0.606270820417352,0.5941346850108616,0.5828340932246475
lstm_attn_final_3,lstm_attn,800,10,True,300,glove,glove.840B.300d,0.78052765,0.7174004,1.5965445,0.58125144,1.122726,0.59626436,0.5970311368573498,0.5970311368573498,0.5970311368573498,0.5989392426410374,0.5385091554044817,0.5989392426410374,0.6033406306842226,0.5970311368573498,0.5788526058438509
lstm_attn_final_4,lstm_attn,800,10,True,300,glove,glove.840B.300d,0.7788365,0.7174794,1.6172638,0.57663846,1.1299778,0.59238505,0.5923244026068066,0.5923244026068066,0.5923244026068066,0.5864360937377685,0.5425570095799176,0.5864360937377685,0.6052593537217574,0.5923244026068066,0.582208771188821
lstm_attn_final_5,lstm_attn,800,10,True,300,glove,glove.840B.300d,0.7878872,0.71424717,1.5523341,0.5796767,1.1278259,0.6035201,0.6035481535119479,0.6035481535119479,0.6035481535119479,0.6098698789300708,0.5614986718891318,0.6098698789300708,0.61505387740433,0.6035481535119479,0.5907847815982595
