'experiment_name','model_name','vocab_size','max_seq_length','to_lower','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
cnn_letter_case_1,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.783606,0.75298977,0.83698523,0.7479859,0.8926807,0.7172154,0.7184894556154978,0.7184894556154978,0.7184894556154979,0.45717319781527826,0.3292633008149786,0.45717319781527826,0.7001055037513587,0.7184894556154978,0.6879539548335499
cnn_letter_case_2,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7862682,0.7524762,0.83516,0.748546,0.9210087,0.7184361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.456310568251662,0.34079932585766043,0.456310568251662,0.6885296461321323,0.7197155468366846,0.6852616982677202
cnn_letter_case_3,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7857989,0.75338256,0.83748937,0.746875,0.9141529,0.71550643,0.7167729279058362,0.7167729279058362,0.7167729279058361,0.4314617414342115,0.34346769852638703,0.4314617414342115,0.6843108082286777,0.7167729279058362,0.6834961015412896
cnn_letter_case_4,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7894397,0.7517053,0.8371141,0.7471994,0.9366346,0.72324914,0.7248651299656694,0.7248651299656694,0.7248651299656694,0.42603745181314223,0.31929440334562037,0.42603745181314223,0.6959158344390101,0.7248651299656694,0.6957645287269028
cnn_letter_case_5,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7846702,0.752944,0.83228725,0.74638957,0.91311556,0.70835656,0.7099068170671898,0.7099068170671898,0.7099068170671898,0.43390931876467237,0.3141175373339066,0.43390931876467237,0.6840029065626025,0.7099068170671898,0.6776816132038048
cnn_letter_case_6,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7850194,0.75364053,0.8411143,0.75096387,0.91546553,0.7184361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.38540376213074057,0.31295888777775727,0.38540376213074057,0.6893592487696746,0.7197155468366846,0.6879608792825893
cnn_letter_case_7,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78615314,0.7528111,0.83052105,0.7493349,0.94176495,0.7105538,0.7121137812653261,0.7121137812653261,0.712113781265326,0.41817001716155144,0.3187531510467149,0.41817001716155144,0.6741964616156808,0.7121137812653261,0.6825698638497864
cnn_letter_case_8,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78851414,0.75215095,0.84927565,0.7457944,0.88975537,0.7241211,0.7251103482099068,0.7251103482099068,0.7251103482099069,0.49060973954804454,0.36650623663785986,0.49060973954804454,0.6951107768023301,0.7251103482099068,0.6943674443998886
cnn_letter_case_9,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.7862992,0.75332534,0.8447627,0.7455984,0.90624875,0.7190639,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.4877443822882307,0.35927932825564174,0.4877443822882307,0.7031766960583249,0.7197155468366846,0.6945645106074432
cnn_letter_case_10,cnn,10000,128,True,True,50,glove,glove.6B.50d,0.78699696,0.75239307,0.8272736,0.7446228,0.90755975,0.72265625,0.7236390387444825,0.7236390387444825,0.7236390387444825,0.48534173957037535,0.3382455331582125,0.48534173957037535,0.6948296926876799,0.7236390387444825,0.6925603914253946
text_cnn_letter_case_1,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.81472135,0.7396845,0.75617474,0.7536431,0.849439,0.7270508,0.7280529671407553,0.7280529671407553,0.7280529671407553,0.4671915844385697,0.34049404619833235,0.4671915844385697,0.7019197668076274,0.7280529671407553,0.6969504809947189
text_cnn_letter_case_2,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8117362,0.7395775,0.7578219,0.75302,0.8634681,0.7260045,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.37745917238853544,0.3223319487533244,0.37745917238853544,0.696305309291223,0.7273173124080432,0.6978223383984629
text_cnn_letter_case_3,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.80888647,0.74083096,0.75577396,0.74839664,0.8358907,0.7339913,0.7356547327121138,0.7356547327121138,0.7356547327121138,0.43159649025956326,0.31630167973080814,0.43159649025956326,0.7011950865578657,0.7356547327121138,0.7073256797066558
text_cnn_letter_case_4,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8120554,0.7402214,0.76144844,0.75423825,0.8423522,0.7266671,0.7282981853849927,0.7282981853849927,0.7282981853849927,0.4064608505092391,0.31654399795624494,0.4064608505092391,0.6966131506518753,0.7282981853849927,0.7014728573674835
text_cnn_letter_case_5,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8168984,0.7390489,0.7609399,0.75709486,0.8392408,0.7260045,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.3910596872278817,0.3172180741732791,0.3910596872278817,0.6904852921614452,0.7273173124080432,0.6996066791135469
text_cnn_letter_case_6,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8064342,0.741121,0.761542,0.75260687,0.8425063,0.73046875,0.7314860225600784,0.7314860225600784,0.7314860225600784,0.41337512356912554,0.31912661000323794,0.41337512356912554,0.6983387596980771,0.7314860225600784,0.704246754400207
text_cnn_letter_case_7,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.80702955,0.7412445,0.7604339,0.75265825,0.85172796,0.72680664,0.7278077488965179,0.7278077488965179,0.727807748896518,0.4192417489176398,0.34303978748223585,0.4192417489176398,0.6937481048925389,0.7278077488965179,0.7002823280468473
text_cnn_letter_case_8,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8131979,0.7396336,0.7552075,0.75256723,0.8727767,0.7210519,0.7226581657675331,0.7226581657675331,0.7226581657675331,0.39939145442775,0.3205978119176496,0.39939145442775,0.6960341444290592,0.7226581657675331,0.6882065084802282
text_cnn_letter_case_9,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8076638,0.7412235,0.7591751,0.7557389,0.8415237,0.72220284,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.42521800419630623,0.3261739767526095,0.42521800419630623,0.6965020482661621,0.7241294752329573,0.7011527049331893
text_cnn_letter_case_10,text_cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8101158,0.7407944,0.7595572,0.75334436,0.8617859,0.7274693,0.7287886218734674,0.7287886218734674,0.7287886218734673,0.4211731681617063,0.3257795430158158,0.4211731681617063,0.6975029903362349,0.7287886218734674,0.6987110489852655
dcnn_letter_case_1,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8421861,0.73193777,0.7801739,0.7448049,0.8524639,0.7272252,0.72854340362923,0.72854340362923,0.72854340362923,0.4300179274715472,0.30746475343383617,0.4300179274715472,0.6897797292052003,0.72854340362923,0.6992838756752663
dcnn_letter_case_2,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8430911,0.7328443,0.7772537,0.7471597,0.8579562,0.72998047,0.7309955860716038,0.7309955860716038,0.7309955860716038,0.43790425778801617,0.33919686154624185,0.43790425778801617,0.7007370072899993,0.7309955860716038,0.7046727060711643
dcnn_letter_case_3,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8461593,0.73192483,0.7811826,0.7463055,0.8852757,0.70891464,0.7101520353114271,0.7101520353114271,0.7101520353114271,0.3642355718620347,0.3259071313652143,0.3642355718620347,0.6803951392248967,0.7101520353114271,0.677467058228486
dcnn_letter_case_4,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.83944213,0.73285955,0.7860226,0.7404943,0.8774165,0.7184361,0.7197155468366846,0.7197155468366846,0.7197155468366847,0.3925899457949668,0.32397280481966145,0.3925899457949668,0.6857149011411018,0.7197155468366846,0.6852862242269391
dcnn_letter_case_5,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84316117,0.73269933,0.7805409,0.7467933,0.8504787,0.72813195,0.7297694948504169,0.7297694948504169,0.729769494850417,0.4803335410598602,0.33401611694186467,0.4803335410598602,0.7165478889130531,0.7297694948504169,0.703156880327087
dcnn_letter_case_6,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.841799,0.732694,0.7769529,0.74513394,0.8647404,0.71745956,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.46254036838433205,0.32257000397049873,0.46254036838433205,0.6982041818206417,0.7187346738597352,0.6882464685345606
dcnn_letter_case_7,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8438045,0.7326241,0.77751344,0.74606985,0.8597434,0.7260742,0.7270720941638058,0.7270720941638058,0.7270720941638059,0.4626470242260577,0.3632843295448396,0.4626470242260577,0.7053749110276458,0.7270720941638058,0.7000371002121533
dcnn_letter_case_8,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8451092,0.7318146,0.7770095,0.7468026,0.8480961,0.7320382,0.7336929867582148,0.7336929867582148,0.7336929867582148,0.4182297581013226,0.3360569910740374,0.4182297581013226,0.7020005877735197,0.7336929867582148,0.7038888383477168
dcnn_letter_case_9,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84409875,0.7318968,0.78168696,0.74474657,0.8581881,0.7249581,0.726581657675331,0.726581657675331,0.7265816576753311,0.4274592684748909,0.32241165270989136,0.4274592684748909,0.691229550917209,0.726581657675331,0.6947764455096508
dcnn_letter_case_10,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84337425,0.73231727,0.7785639,0.7459741,0.85552007,0.719587,0.7211868563021089,0.7211868563021089,0.7211868563021089,0.38665767396284667,0.3364290542352202,0.38665767396284667,0.6904639923490054,0.7211868563021089,0.6883874852131805
rcnn_letter_case_1,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.96819717,0.72660214,0.9190708,0.73880464,0.99270636,0.72569054,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.3807872809004614,0.268565263741841,0.3807872809004614,0.690861022721327,0.7273173124080432,0.691706093571981
rcnn_letter_case_2,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.94654155,0.7306925,0.8906319,0.7465693,0.93741274,0.72436523,0.7253555664541442,0.7253555664541442,0.7253555664541442,0.35046321109967,0.2733346371217773,0.35046321109967,0.6847759618292893,0.7253555664541442,0.6929832280198062
rcnn_letter_case_3,rcnn,10000,128,True,True,50,glove,glove.6B.50d,0.9577921,0.72954094,0.89842385,0.743624,0.96099585,0.71372765,0.715301618440412,0.715301618440412,0.715301618440412,0.36442485015650794,0.2579947443911519,0.36442485015650794,0.6782578228973339,0.715301618440412,0.676465711902447
